General Ledger,,,,,,,Report Date: 27-AUG-2018
,,,,,,,
PT. HADJI KALLA,,,,,,,
Buku Besar 4111101 s.d 4111101,,,,,,,
Product 305,,,,,,,
Tanggal 01-Jan-18 s.d 31-Jan-18,,,,,,,
Branch,140401,,,,Kolaka,,
Account,4111101,,,,Penjualan,,
Tgl. Bukti,No. Bukti,Accounting Date,Keterangan,No. Reff,Debet (Rp.),Kredit (Rp.),Saldo (Rp.)
,,Beginning Balance (Saldo Awal),,,,,0.00
02-Jan-18,216-GA1801R1048252,02-Jan-18,,Sales Invoices,0.00,"424,113.64","-424,113.64"
02-Jan-18,216-GA1801R1048254,02-Jan-18,,Sales Invoices,0.00,"331,818.18","-755,931.82"
02-Jan-18,216-GA1801R1048255,02-Jan-18,,Sales Invoices,0.00,"1,099,897.73","-1,855,829.55"
02-Jan-18,216-GA1801R1048257,02-Jan-18,,Sales Invoices,0.00,"1,255,664.09","-3,111,493.64"
02-Jan-18,216-GA1801R1048259,02-Jan-18,,Sales Invoices,0.00,"738,460.91","-3,849,954.55"
02-Jan-18,216-GA1801R1048260,02-Jan-18,,Sales Invoices,0.00,"700,272.73","-4,550,227.28"
02-Jan-18,216-GA1801R1048261,02-Jan-18,,Sales Invoices,0.00,"634,139.09","-5,184,366.37"
02-Jan-18,216-GA1801R1048262,02-Jan-18,,Sales Invoices,0.00,"1,060,542.27","-6,244,908.64"
02-Jan-18,216-GA1801R1048263,02-Jan-18,,Sales Invoices,0.00,"1,338,499.09","-7,583,407.73"
02-Jan-18,216-GA1801R1048264,02-Jan-18,,Sales Invoices,0.00,"192,500.00","-7,775,907.73"
02-Jan-18,216-GA1801R1048265,02-Jan-18,,Sales Invoices,0.00,"262,005.45","-8,037,913.18"
02-Jan-18,216-GA1801R1048267,02-Jan-18,,Sales Invoices,0.00,"1,013,067.27","-9,050,980.45"
02-Jan-18,216-GA1801R1048268,02-Jan-18,,Sales Invoices,0.00,"491,680.91","-9,542,661.36"
02-Jan-18,216-GA1801R1048271,02-Jan-18,,Sales Invoices,0.00,"1,445,160.00","-10,987,821.36"
02-Jan-18,216-GA1801R1048272,02-Jan-18,,Sales Invoices,0.00,"1,011,302.27","-11,999,123.63"
02-Jan-18,216-GA1801R1048273,02-Jan-18,,Sales Invoices,0.00,"1,326,680.00","-13,325,803.63"
02-Jan-18,216-GA1801R1048275,02-Jan-18,,Sales Invoices,0.00,"818,995.91","-14,144,799.54"
02-Jan-18,216-GA1801R1048276,02-Jan-18,,Sales Invoices,0.00,"828,477.27","-14,973,276.81"
02-Jan-18,216-GA1801R1048279,02-Jan-18,,Sales Invoices,0.00,"1,757,671.82","-16,730,948.63"
03-Jan-18,216-GA1801R1048283,03-Jan-18,,Sales Invoices,0.00,"1,158,732.73","-17,889,681.36"
03-Jan-18,216-GA1801R1048284,03-Jan-18,,Sales Invoices,0.00,"988,210.45","-18,877,891.81"
03-Jan-18,216-GA1801R1048285,03-Jan-18,,Sales Invoices,0.00,"1,751,471.36","-20,629,363.17"
03-Jan-18,216-GA1801R1048286,03-Jan-18,,Sales Invoices,0.00,"1,703,820.00","-22,333,183.17"
